תאריך הדפסה as400,שעת הדפסה AS400,קו אריזה,תעודת אריזה,TXT5,מיקום,קוד יעד,הערה
160307,85308,5,288892100,מריומ,  בחוץ,1,                                        
160307,141042,2,288892200,אורבך,R-0505,1,                                        
160307,141048,2,288892300,לתריס,B-0702,1,                                        
160307,141334,2,288892400,טוינה,A-0405,1,                                        
160307,141342,2,288892500,טוינה,A-0405,1,                                        
160307,141357,2,288892600,טוינה,A-0405,1,                                        
160307,141412,2,288892700,טוינה,A-0405,1,                                        
160307,141435,2,288892800,טוינה,A-0405,1,                                        
160307,142129,2,288892900,טוינה,  בחוץ,1,                                        
160307,142141,2,288893000,טוינה,  בחוץ,1,                                        
160307,142155,2,288893100,טוינה,  בחוץ,1,                                        
160307,143900,2,288893200,טוינה,A-0405,1,                                        
160307,143909,2,288893300,טוינה,A-0405,1,                                        
160307,143929,2,288893400,טוינה,A-0405,1,                                        
160307,143939,2,288893500,טוינה,A-0405,1,                                        
160307,144009,2,288893600,טוינה,A-0405,1,                                        
160307,144017,2,288893700,טוינה,A-0405,1,                                        
160307,144034,2,288893800,טוינה,A-0405,1,                                        
160307,144041,2,288893900,טוינה,A-0405,1,                                        
160307,144059,2,288894000,טוינה,A-0405,1,                                        
160307,144135,2,288894100,טוינה,A-0405,1,                                        
160307,144219,2,288894200,טוינה,A-0405,1,                                        
160307,144230,2,288894300,טוינה,A-0405,1,                                        
160307,144432,2,288894400,טוינה,A-0405,1,                                        
160307,144444,2,288894500,טוינה,A-0405,1,                                        
160307,144538,2,288894600,אורבך,R-0505,1,                                        
160307,144605,1,288894700, מלאי,  מלאי,1,                                        
160307,144740,2,288894800,קאלמא,  בחוץ,1,                                        
160307,144746,2,288894900,  פ.ה,  בחוץ,1,                                        
160307,144808,2,288895000,אורבך,A-0905,1,                                        
160307,144821,2,288895100,אורבך,R-0505,1,                                        
160307,145012,2,288895200,לתריס,B-0702,1,                                        
160307,145020,2,288895300,אורבך,R-0505,1,                                        
160307,145040,2,288895400,  פ.ה,  בחוץ,1,                                        
160307,145102,2,288895500,אורבך,R-0505,1,                                        
160307,145119,2,288895600,לב פת,B-1101,1,                                        
160307,145128,2,288895700,רעננה,A-0601,1,                                        
160307,145143,2,288895800,קאלמא,B-0501,1,                                        
160307,145152,2,288895900,אלומל,  בחוץ,1,                                        
160307,145201,2,288896000, אזור,B-0302,1,                                        
160307,145208,2,288896100,אלומל,B-0601,16,                                        
160307,145219,2,288896200,לתריס,  בחוץ,1,                                        
160307,145226,2,288896300,אורבך,  בחוץ,1,                                        
160307,145234,2,288896400,אלומל,  בחוץ,16,                                        
160307,145241,2,288896500,כל קל,A-1601,1,                                        
160307,145246,2,288896600, מלאי,  מלאי,2,                                        
160307,155425,1,288896700,מ.יעד,  בחוץ,1,                                        
160307,155949,2,288896800,לב פת,B-1101,1,                                        
160307,155958,2,288896900,טוינה,A-0301,1,                                        
160307,160018,2,288897000,טוינה,A-0301,1,                                        
160307,160032,2,288897100,טוינה,  בחוץ,1,                                        
160307,160050,2,288897200, איטח,  בחוץ,1,                                        
160307,160105,2,288897300,טוינה,  בחוץ,1,                                        
160307,160113,2,288897400, מלאי,  מלאי,2,                                        
160307,160253,2,288897500, מלאי,  מלאי,2,                                        
160307,160305,2,288897600,אלומל,A-0701,1,                                        
160307,160319,2,288897700, איטח,  בחוץ,1,                                        
160307,160445,2,288897800, גולד,  בחוץ,1,                                        
160307,160450,2,288897900, מלאי,  מלאי,2,                                        
160307,160525,2,288898000,רומקל,A-1001,1,                                        
160307,160539,2,288898100,אורבך,A-1202,1,                                        
160307,160628,2,288898200,  צפי,A-0903,1,                                        
160307,160637,2,288898300, גולד,A-1201,1,                                        
160307,160646,2,288898400,אלומל,  בחוץ,1,                                        
160307,160702,2,288898500,אלומל,B-0601,16,                                        
160307,160710,2,288898600, איטח,  בחוץ,1,                                        
160307,160719,2,288898700,כל קל,A-1601,1,                                        
160307,160724,2,288898800, מלאי,  מלאי,2,                                        
160307,160805,2,288898900,רעננה,A-0601,1,                                        
160307,160814,2,288899000,רומקל,A-1001,1,                                        
160307,160859,2,288899100,אורבך,A-1202,1,                                        
160307,160913,2,288899200, גולד,A-1201,1,                                        
160307,160923,2,288899300,קאלמא,B-0501,1,                                        
160307,160932,2,288899400,אלומל,  בחוץ,1,                                        
160307,160940,2,288899500,אלומל,B-0601,16,                                        
160307,160948,2,288899600, איטח,  בחוץ,1,                                        
